variance,percentage,fxy,cxy,reward,done
0.4,0.25,-0.07,-0.15,0.0284,False
0.4,0.25,-0.07,-0.1,0.031,False
0.4,0.25,-0.07,-0.05,0.0345,False
0.4,0.25,-0.07,0.0,0.0364,False
0.4,0.25,-0.07,0.05,0.0394,False
0.4,0.25,-0.06,-0.1,0.0259,False
0.4,0.25,-0.06,0.0,0.0312,False
0.4,0.25,-0.06,0.05,0.0338,False
0.4,0.25,-0.06,0.1,0.0362,False
0.4,0.25,-0.05,0.0,0.0261,False
0.4,0.25,-0.05,0.05,0.0286,False
0.4,0.25,-0.05,0.1,0.031,False
0.4,0.25,-0.04,0.0,0.0207,False
0.4,0.25,-0.04,0.05,0.023,False
0.4,0.25,-0.03,0.05,0.0198,False
0.4,0.25,-0.01,-0.4,0.0249,False
0.4,0.25,0.01,-0.2,0.018,False
0.4,0.25,0.01,-0.15,0.0153,False
0.4,0.25,0.01,0.15,0.006,False
0.4,0.25,0.02,-0.4,0.0359,False
0.4,0.25,0.02,-0.1,0.0162,False
0.4,0.25,0.02,0.15,0.006,False
0.4,0.25,0.03,-0.45,0.044,False
0.4,0.25,0.03,-0.4,0.0397,False
0.4,0.25,0.03,-0.15,0.0231,False
0.4,0.25,0.03,-0.1,0.0203,False
0.4,0.25,0.04,-0.2,0.03,False
0.4,0.3,-0.08,-0.15,0.0341,False
0.4,0.3,-0.07,-0.1,0.031,False
0.4,0.3,-0.07,-0.05,0.0345,False
0.4,0.3,-0.06,-0.1,0.0259,False
0.4,0.3,-0.06,-0.05,0.0287,False
0.4,0.3,-0.06,0.0,0.0312,False
0.4,0.3,-0.05,0.0,0.0261,False
0.4,0.3,-0.04,0.0,0.0207,False
0.4,0.3,-0.04,0.05,0.023,False
0.4,0.3,0.01,-0.2,0.018,False
0.4,0.3,0.04,-0.4,0.0435,False
0.4,0.3,0.05,-0.4,0.0475,False
0.4,0.3,0.05,-0.35,0.0438,False
0.4,0.3,0.06,-0.35,0.0475,False
0.4,0.35,-0.07,-0.1,0.031,False
0.4,0.35,0.0,-0.2,0.0143,False
0.4,0.35,0.01,-0.25,0.0213,False
0.4,0.35,0.01,-0.2,0.018,False
0.4,0.35,0.02,-0.25,0.0253,False
0.4,0.4,-0.07,-0.1,0.031,False
0.4,0.4,-0.07,-0.05,0.0345,False
0.4,0.4,-0.06,-0.05,0.0287,False
0.4,0.4,-0.06,0.0,0.0312,False
0.4,0.4,-0.05,-0.05,0.0234,False
0.4,0.4,-0.05,0.0,0.0261,False
0.4,0.4,-0.01,-0.1,0.0081,False
