result,fx,fy,cx,cy
0.21249942517593512,2365.2168000000015,2365.2168000000015,960,540
0.21654983575195783,2382.6081000000017,2382.6081000000017,960,540
0.22060100205708533,2399.9994000000015,2399.9994000000015,960,540
0.2247136190265339,2417.3907000000017,2417.3907000000017,960,540
0.2284406592651537,2434.7820000000015,2434.7820000000015,960,540
0.2324550978683514,2452.1733000000017,2452.1733000000017,960,540
0.23645897440319016,2469.5646000000015,2469.5646000000015,960,540
0.2397796335207075,2486.955900000002,2486.955900000002,960,540
0.24355497555220554,2504.3472000000015,2504.3472000000015,960,540
0.24703740806816407,2521.738500000002,2521.738500000002,960,540
0.25093927109251174,2539.1298000000015,2539.1298000000015,960,540
0.25419851585703396,2556.521100000002,2556.521100000002,960,540
0.25782444781966757,2573.9124000000015,2573.9124000000015,960,540
0.2609397572894545,2591.303700000002,2591.303700000002,960,540
0.26404379888565627,2608.6950000000015,2608.6950000000015,960,540
0.26750298167704506,2626.086300000002,2626.086300000002,960,540
0.27097795013857956,2643.4776000000015,2643.4776000000015,960,540
0.27369584483467463,2660.868900000002,2660.868900000002,960,540
0.0,2678.260200000002,2678.260200000002,960,540
0.2799852176367134,2695.651500000002,2695.651500000002,960,540
0.28331992857403593,2713.042800000002,2713.042800000002,960,540
0.0,2730.434100000002,2730.434100000002,960,540
0.0,2747.825400000002,2747.825400000002,960,540
0.29204726283606175,2765.216700000002,2765.216700000002,960,540
0.0,2782.608000000002,2782.608000000002,960,540
